Course_ID,Learners_Enrolled,Exam_Registration
noc26_ma143,424,4
noc26_ma144,123,1
noc26_ma145,469,12
noc26_ma71,133,1
noc26_ma72,285,10
noc26_ma73,406,3
noc26_ma74,168,4
noc26_ma75,1145,44
noc26_ma77,660,19
noc26_ma78,1189,30
noc26_ma79,207,5
noc26_ma80,3297,403
noc26_ma81,755,28
noc26_ma83,1514,38
noc26_ma84,1448,43
noc26_ma85,1031,30
noc26_ma86,485,7
noc26_ma87,179,2
noc26_ma88,934,27
noc26_ma89,267,4
noc26_ma90,785,36
noc26_ma91,1046,29
noc26_ma92,655,14
noc26_ma93,163,3
noc26_ma94,301,7
noc26_ma95,978,44
noc26_ma96,617,35
noc26_ma97,2580,115
noc26_ma98,1500,29
noc26_ma99,706,24
noc26_me104,Removed / Unavailable,Removed / Unavailable
noc26_me105,140,1
noc26_me106,938,25
noc26_me107,468,64
noc26_me108,106,1
noc26_me109,1344,103
noc26_me110,652,9
noc26_me111,436,16
noc26_me112,6531,265
noc26_me113,790,52
noc26_me114,750,30
noc26_me115,464,39
noc26_me116,804,46
noc26_me117,296,12
noc26_me118,4224,159
noc26_me119,502,15
noc26_me120,671,60
noc26_me121,423,27
noc26_me122,516,24
noc26_me123,2735,143
noc26_me124,1454,96
noc26_me125,517,25
noc26_me126,1531,35
noc26_me127,4932,227
noc26_me128,961,69
noc26_me129,453,8
noc26_me130,127,2
noc26_me131,143,2
noc26_me132,146,5
noc26_me133,1922,67
noc26_me134,523,14
noc26_me135,901,52
noc26_me136,374,12
noc26_me137,2467,77
noc26_me138,1059,31
noc26_me139,1503,129
noc26_me140,282,11
noc26_me141,9715,818
noc26_me142,1491,32
noc26_me143,362,11
noc26_me144,192,5
noc26_me145,573,33
noc26_me146,348,13
noc26_me147,561,12
noc26_me148,393,22
noc26_me149,1711,169
noc26_me150,245,5
noc26_me151,2997,194
noc26_me152,1126,83
noc26_me153,402,8
noc26_me154,3685,240
noc26_me155,643,34
noc26_me156,1977,97
noc26_me157,901,30
noc26_me158,2173,267
noc26_me159,379,6
noc26_me160,1156,47
noc26_me161,207,7
noc26_me162,935,66
noc26_me163,98,3
noc26_me164,1239,26
noc26_me165,2125,67
noc26_me166,88,0
noc26_me167,1834,97
noc26_me168,156,8
noc26_me169,892,48
noc26_me170,761,28
noc26_me171,1543,64
noc26_me172,309,7
noc26_me173,575,10
noc26_me174,568,16
noc26_me175,1507,83
noc26_me176,130,7
noc26_me177,527,13
noc26_me178,168,13
noc26_me179,138,4
noc26_me180,351,12
noc26_me181,537,16
noc26_me182,455,18
noc26_me183,773,28
noc26_me184,173,9
noc26_me185,534,54
noc26_me186,150,4
noc26_me187,243,4
noc26_me188,4512,267
noc26_me189,6207,466
noc26_me190,264,10
noc26_me191,626,27
noc26_me192,940,47
noc26_me193,1341,32
noc26_me194,440,21
noc26_me195,53,0
noc26_me196,1060,39
noc26_me197,187,12
noc26_me198,688,20
noc26_me199,861,16
noc26_me200,652,22
noc26_me201,652,34
noc26_me202,2497,149
noc26_me203,1376,85
noc26_me204,1043,44
noc26_mg100,9491,1981
noc26_mg101,2825,350
noc26_mg102,1019,225
noc26_mg103,1816,105
noc26_mg104,1146,112
noc26_mg105,3866,289
noc26_mg106,3808,336
noc26_mg107,3660,251
noc26_mg108,2095,291
noc26_mg109,6060,873
noc26_mg110,738,27
noc26_mg111,2146,109
noc26_mg112,4591,264
noc26_mg113,9446,1096
noc26_mg114,25577,3857
noc26_mg115,724,125
noc26_mg116,7263,677
noc26_mg117,3504,230
noc26_mg118,125,0
noc26_mg119,1278,91
noc26_mg120,1648,86
noc26_mg121,2142,72
noc26_mg122,9165,185
noc26_mg123,1880,41
noc26_mg124,942,27
noc26_mg125,1284,120
noc26_mg126,3349,217
noc26_mg127,992,33
noc26_mg128,761,26
noc26_mg129,11067,2586
noc26_mg130,1158,61
noc26_mg131,1757,98
noc26_mg132,2495,384
noc26_mg133,644,20
noc26_mg134,13567,2648
noc26_mg135,5191,653
noc26_mg136,779,51
noc26_mg137,1751,91
noc26_mg138,1357,90
noc26_mg139,21518,1708
noc26_mg142,8755,1293
noc26_mg143,2629,81
noc26_mg144,1021,61
noc26_mg145,8825,796
noc26_mg146,1534,387
noc26_mg147,5037,1866
noc26_mg148,1762,73
noc26_mg149,1212,46
noc26_mg150,4544,132
noc26_mg151,932,33
noc26_mg152,10609,2051
noc26_mg153,4407,334
noc26_mg154,8568,901
noc26_mg155,4032,253
noc26_mg156,1838,67
noc26_mg157,5664,558
noc26_mg158,7117,1568
noc26_mg159,816,95
noc26_mg80,6980,704
noc26_mg81,2964,94
noc26_mg82,3805,217
noc26_mg83,1983,63
noc26_mg84,18384,2189
noc26_mg85,765,73
noc26_mg86,2323,313
noc26_mg87,5280,247
noc26_mg88,437,27
noc26_mg89,1915,316
noc26_mg90,433,24
noc26_mg91,953,95
noc26_mg92,4443,113
noc26_mg93,2189,403
noc26_mg94,5054,564
noc26_mg95,1463,153
noc26_mg96,3631,111
noc26_mg97,6241,396
noc26_mg98,3795,915
noc26_mg99,6520,332
noc26_mm48,88,2
noc26_mm49,592,26
noc26_mm50,607,17
noc26_mm51,371,6
noc26_mm53,127,3
noc26_mm54,148,3
noc26_mm55,72,2
noc26_mm56,2300,109
noc26_mm57,83,4
noc26_mm58,97,1
noc26_mm59,83,1
noc26_mm60,340,22
noc26_mm61,201,3
noc26_mm62,171,8
noc26_mm63,123,4
noc26_mm64,699,33
noc26_mm65,115,5
noc26_mm66,378,8
noc26_mm67,282,4
noc26_mm68,87,1
noc26_mm69,429,25
noc26_mm70,270,23
noc26_mm71,173,7
noc26_mm72,421,25
noc26_mm73,281,7
noc26_mm74,188,4
noc26_mm75,624,56
noc26_mm76,6442,123
noc26_mm77,81,1
noc26_mm78,568,24
noc26_mm79,974,90
noc26_mm80,309,27
noc26_mm81,129,7
noc26_mm82,227,11
noc26_mm83,674,35
noc26_mm84,392,79
noc26_mm85,108,9
noc26_mm86,174,8
noc26_mm87,539,37
noc26_mm88,111,4
noc26_mm89,188,7
noc26_mm90,37,0
noc26_mm91,248,7
noc26_oe05,301,12
noc26_oe06,483,12
noc26_oe07,172,4
noc26_oe08,288,19
noc26_oe09,709,24
noc26_ph34,2034,83
noc26_ph35,304,7
